,digital_score,Name,ws_ranks
433,0.0352723037813878,Stifel Financial,0.7279
434,0.022027193790009524,Illumina,0.695
435,0.001079764401471055,ASGN,0.7736
436,0.0051828691270610645,Penn Mutual Life Insurance,0.5773
437,0.05218861273776766,Generac Holdings,0.5922
438,0.011517486949024588,Atlas Air Worldwide Holdings,0.742
439,15.836544554908807,Domino's Pizza,0.6625
440,0.0352723037813878,Brink's,0.5771
441,0.07198429343140367,Toro,0.4829
442,0.03771976975805553,Century Communities,0.7402
443,0.013101141404515468,Timken,0.4528
444,0.0053268377139238715,Sentry Insurance Group,0.6762
445,7.918272277454403,Western Union,0.7736
446,0.0,BlueLinx Holdings,0.6024
447,0.00431905760588422,Carlyle Group,0.6083
448,0.00410310472559001,H.B. Fuller,0.4829
449,0.0,TransUnion,0.7688
450,0.0,Ares Management,0.8105
451,0.10797644014710552,Hawaiian Electric Industries,0.7668
452,0.010653675427847743,Comerica,0.4829
453,0.012453282763632835,Align Technology,0.6891
454,0.0,Arch Resources,0.8431
455,0.00027138078623639185,Signature Bank,0.7662
456,5.888315202688821,Abercrombie & Fitch,0.4829
457,0.05154075409688503,MSC Industrial Direct,0.7625
458,0.015620591674614596,Trimble,0.755
459,0.008566130918337037,Gray Television,0.6662
460,0.0025194502700991287,Green Plains,0.5824
462,0.14396858686280734,Splunk,0.7567
463,0.046069947796098354,Mercury General,0.5623
464,0.008926052385494055,Ciena,0.5768
466,0.20875445095107065,Akamai Technologies,0.4829
467,0.010725659721279146,Flowserve,0.8137
468,0.011301534068730378,Stewart Information Services,0.5848
471,0.32392932044131656,Energizer Holdings,0.6751
472,0.00647858640882633,Vista Outdoor,0.5098
473,0.00352723037813878,Moog,0.6298
474,0.0016556387489222845,Verisk Analytics,0.8036
475,0.0051108848336296605,FTI Consulting,0.6183
476,0.0,Ensign Group,0.5772
477,0.0015836544554908808,Encore Wire,0.706
479,0.0,Griffon,0.5648
480,0.0016556387489222845,MYR Group,0.5803
481,0.006982476462846156,SkyWest,0.558
482,0.0015836544554908808,ITT,0.6438
484,0.009429942439513882,Waters,0.4829
485,0.0016556387489222845,AdaptHealth,0.4829
486,0.02469061264697146,Sun Communities,0.6626
487,0.002807387443824743,Caleres,0.4829
488,7.198429343140367,Walmart,0.7669
489,2.1595288029421105,Amazon,0.7461
490,10.077801080396513,Exxon Mobil,0.7013
491,0.12813204230789854,UnitedHealth Group,0.8579
492,0.4355049752599922,Costco Wholesale,0.4829
493,0.018715916292164955,Microsoft,0.7643
494,0.01079764401471055,Phillips 66,0.8604
495,0.31817057696680423,Valero Energy,0.8537
496,1.1517486949024587,Ford Motor,0.4829
497,0.009357958146082477,Home Depot,0.7722
498,0.00036280083889427456,General Motors,0.7714
499,0.07918272277454404,Elevance Health,0.4829
500,0.0885406809206265,JPMorgan Chase,0.7479
501,2.0155602160793027,Centene,0.7979
502,0.0059027120613751,Fannie Mae,0.8233
503,3.4552460847073765,Meta Platforms,0.7675
504,0.3145713622952341,Target,0.8504
505,0.7918272277454403,United Parcel Service,0.4829
506,0.3548825666168201,Humana,0.7246
507,0.0005773140333198575,Wells Fargo,0.8384
508,3.3112774978445687,Tesla,0.4829
509,0.4059914149531167,Albertsons,0.7653
510,0.14396858686280734,Goldman Sachs Group,0.8072
511,0.0004491819910119589,Sysco,0.8062
513,0.08710099505199845,Lockheed Martin,0.8653
514,2.0155602160793027,Intel,0.7731
515,0.2137933514912689,TD Synnex,0.7084
516,0.7104849761679543,HCA Healthcare,0.7129
517,0.0033832617912759725,Merck,0.835
519,1.9435759226478992,New York Life Insurance,0.7591
520,0.002231513096373514,Enterprise Products Partners,0.5389
521,27.354031503933395,Plains GP Holdings,0.4829
522,5.902711341532167,Dow,0.5953
523,0.11085581188436167,American Express,0.7533
524,0.010077801080396515,Oracle,0.8076
525,0.06550570702257734,Nucor,0.6283
526,0.15332654500888981,TIAA,0.5799
527,0.002015560216079303,Massachusetts Mutual Life Insurance,0.7704
528,0.0007918272277454404,General Dynamics,0.6663
529,2.375481683236321,Capital One Financial,0.7391
530,0.0215952880294211,HF Sinclair,0.7677
531,0.24042754006088826,USAA,0.7457
532,0.9357958146082478,Honeywell International,0.7374
533,0.10149785373827917,3M,0.4829
534,0.003095324617550358,US Foods Holding,0.1
535,0.42902638885116584,Lennar,0.4901
536,0.02591434563530532,CarMax,0.772
537,0.007918272277454404,Starbucks,0.7723
538,0.19867664987067413,Uber Technologies,0.76
539,0.40527157201880265,Philip Morris International,0.7791
540,0.01079764401471055,Mondelez International,0.8057
541,0.0038151675518643944,Micron Technology,0.6678
542,0.1000581678696511,Visa,0.6714
543,0.2483458123383427,United Natural Foods,0.7569
544,0.004175089019021413,Eli Lilly,0.673
545,0.00863811521176844,Dollar Tree,0.7266
546,0.25914345635305325,Lithia Motors,0.8402
547,10.077801080396513,Cummins,0.7691
549,0.023034973898049177,U.S. Bancorp,0.7372
550,0.018715916292164955,Gilead Sciences,0.663
551,0.005470806300786679,AutoNation,0.7643
552,0.2533847128785409,Amgen,0.6987
553,0.0038871518452957983,EOG Resources,0.682
554,0.035992146715701834,Truist Financial,0.847
555,0.005542790594218082,Macy's,0.4701
556,0.10293753960690726,Union Pacific,0.573
557,0.1993964928049882,C.H. Robinson Worldwide,0.6395
559,0.0005924307349404522,Avnet,0.7718
560,0.015836544554908807,CDW,0.7404
561,0.11877408416181606,PNC Financial Services Group,0.4829
562,0.06766523582551945,Freeport-McMoRan,0.5927
563,0.34336507966779556,Oneok,0.4833
564,0.4239874883109676,Steel Dynamics,0.4829
565,0.22603068137460752,Mastercard,0.6187
566,0.014396858686280734,Sherwin-Williams,0.5772
567,0.47941539425314844,Genuine Parts,0.8007
568,0.19147822052753377,PG&E,0.6779
569,0.2058750792138145,ManpowerGroup,0.63
570,0.14180905805986524,Whirlpool,0.4318
571,0.03023340324118954,Waste Management,0.4829
572,0.04535010486178431,American Electric Power,0.4833
573,0.29081654546287083,Emerson Electric,0.5554
574,0.026634188569619358,Aflac,0.8316
575,0.41247000136194306,Cognizant Technology Solutions,0.609
576,0.05614774887649486,Becton Dickinson,0.5809
577,0.01079764401471055,Moderna,0.5323
578,0.0038151675518643944,DTE Energy,0.589
579,0.0215952880294211,Land O'Lakes,0.5805
580,0.00215952880294211,Devon Energy,0.6682
581,0.02375481683236321,Mosaic,0.4776
582,1.5836544554908807,Exelon,0.8307
583,0.018715916292164955,General Mills,0.6
584,1.9435759226478992,Lincoln National,0.4949
585,0.017996073357850917,Stryker,0.7565
587,0.05470806300786679,Colgate-Palmolive,0.6368
589,0.07918272277454404,PPG Industries,0.6477
590,0.00410310472559001,Synchrony Financial,0.8353
591,0.009357958146082477,Principal Financial,0.8
592,2.8793717372561467,Andersons,0.7323
593,0.10221769667259323,Lam Research,0.6866
594,0.0031673089109817616,Edison International,0.6692
595,0.05470806300786679,Dominion Energy,0.7334
596,0.15188685914026176,Booking Holdings,0.73
597,0.097898639066709,Quanta Services,0.6877
598,0.0017276230423536882,Expeditors Intl. of Washington,0.6076
599,0.0013677015751966698,Live Nation Entertainment,0.8402
600,0.02807387443824743,Automatic Data Processing,0.7723
601,3.5992146715701834,Aramark,0.7612
602,0.0009357958146082478,Thor Industries,0.5812
603,0.4916527241364871,Viatris,0.6341
604,0.2015560216079303,Reinsurance Group of America,0.6693
605,1.1517486949024587,AutoZone,0.4829
606,0.028793717372561468,PulteGroup,0.7525
607,0.002807387443824743,Illinois Tool Works,0.7142
608,0.12525267057064238,Westlake,0.6602
609,0.029513560306875505,Consolidated Edison,0.4829
610,0.02447465976667725,Gap,0.5857
611,0.02015560216079303,Opendoor Technologies,0.7693
612,0.0025194502700991287,Nordstrom,0.7422
613,0.0002130735085569549,Asbury Automotive Group,0.6603
614,0.5038900540198257,Ball,0.5755
615,0.09645895319808091,Xcel Energy,0.5386
616,0.0027354031503933397,W.W. Grainger,0.7615
617,1.3677015751966697,DCP Midstream,0.4829
619,0.03743183258432991,Laboratory Corp. of America,0.8592
620,0.041031047255900094,CSX,0.6323
621,17.276230423536884,J.B. Hunt Transport Services,0.6413
622,0.0011517486949024589,Fluor,0.6884
623,0.014396858686280734,Vistra,0.5514
624,0.05902712061375101,Peter Kiewit Sons',0.7744
625,0.28289827318541644,AECOM,0.7321
626,0.14180905805986524,Pacific Life,0.639
628,0.01511670162059477,MGM Resorts International,0.7449
629,0.053268377139238716,Textron,0.7633
